last_name,first_name,RentalAmount,Rental_Quantity,country,city,active
ABNEY,RAFAEL,97.79,21,Philippines,Talavera,1
ADAM,NATHANIEL,133.72,28,"United States",Joliet,1
ADAMS,KATHLEEN,92.73,27,Iran,Arak,1
ALEXANDER,DIANA,105.73,27,"United States","Augusta-Richmond County",1
ALLARD,GORDON,160.68,32,Yemen,Hodeida,1
ALLEN,SHIRLEY,126.69,31,Philippines,Davao,1
ALVAREZ,CHARLENE,114.73,27,Tanzania,Zanzibar,1
ANDERSON,LISA,106.76,24,Japan,Sagamihara,1
ANDREW,JOSE,96.75,25,"Saint Vincent and the Grenadines",Kingstown,1
ANDREWS,IDA,76.77,23,Brazil,Luzinia,1
AQUINO,OSCAR,99.80,20,Iran,Sirjan,1
ARCHULETA,JORDAN,132.70,30,Argentina,Avellaneda,1
ARMSTRONG,MELANIE,92.75,25,Philippines,Bayugan,1
ARNOLD,BEATRICE,119.74,26,India,Udaipur,1
ARSENAULT,KENT,134.73,27,Brazil,"Juiz de Fora",1
ARTIS,CARL,106.77,23,Paraguay,"San Lorenzo",1
ASHCRAFT,DARRYL,76.77,23,Argentina,Ezeiza,1
ASHER,TYRONE,112.76,24,Bulgaria,Ruse,1
AUSTIN,ALMA,151.65,35,Germany,Mannheim,1
BAILEY,MILDRED,98.75,25,India,Jaipur,1
BAKER,PAMELA,95.77,23,China,Nanyang,1
BALES,MARTIN,103.73,27,Angola,Namibe,1
BANDA,EVERETT,110.72,28,Egypt,Bilbays,1
BANKS,JESSIE,91.74,26,Bulgaria,"Stara Zagora",1
BARBEE,CLAYTON,96.74,26,Brazil,Alvorada,1
BARCLAY,ANGEL,115.68,32,Japan,Ueda,1
BARFIELD,NICHOLAS,145.68,32,Brazil,Belm,1
BARKLEY,VICTOR,91.76,24,"United States",Manchester,1
BARNES,RACHEL,84.78,22,Japan,Kamakura,1
BARNETT,CAROLE,108.70,30,"United States",Peoria,1
